matric_pct,inter_pct,entry_test_score,eligibility_score,budget,program,university_tier,university_type,admission_chance
68,92,31,66.5,1257119,LLB,3,Private,Medium
86,86,94,88.4,1958807,Media Studies,2,Private,Medium
48,77,82,69.8,1696383,Software Engineering,3,Private,High
74,78,70,74.4,1871142,Accounting & Finance,1,Government,Low
73,74,83,76.4,2215244,Economics,1,Private,Low
84,78,34,66.6,1448437,Computer Engineering,3,Government,High
53,79,54,63.7,2111089,Food Science,3,Private,Low
58,45,53,51.3,767183,BBA,2,Government,Low
93,48,84,72.3,677389,Computer Science,3,Government,High
89,46,82,69.7,1608728,BBA,3,Government,High
55,76,54,63.1,1195030,Computer Science,1,Government,Low
66,61,99,73.9,1036631,Computer Engineering,3,Government,High
49,46,78,56.5,1990787,Software Engineering,1,Private,Low
59,96,59,73.8,1493165,Cyber Security,1,Private,Medium
46,88,52,64.6,1697793,Agriculture,3,Government,Low
84,76,55,72.1,1289855,Marketing,2,Government,Medium
63,95,100,86.9,2094634,Psychology,2,Government,Medium
99,62,79,78.2,772662,Computer Science,1,Private,Low
97,52,97,79.0,1835826,LLB,3,Private,High
60,81,59,68.1,1182653,Data Science,1,Government,Low
58,49,44,50.2,514772,Marketing,1,Government,Low
75,69,40,62.1,2136678,Media Studies,3,Government,Medium
69,49,88,66.7,1607315,BBA,2,Private,Medium
66,55,49,56.5,1155725,Mechanical Engineering,1,Private,Low
64,89,89,81.5,760748,Food Science,3,Private,High
93,72,73,78.6,769192,Media Studies,1,Government,Medium
64,53,71,61.7,2170366,LLB,3,Private,Medium
71,98,96,89.3,1675174,BBA,1,Private,Low
60,69,89,72.3,1436612,LLB,3,Government,High
99,57,44,65.7,1318363,Psychology,2,Government,Medium
88,58,78,73.0,1731341,Psychology,1,Government,Medium
67,94,88,84.1,1766327,Food Science,3,Government,High
77,93,45,73.8,1519709,Software Engineering,3,Government,High
45,55,71,56.8,1646698,Food Science,2,Private,Low
66,74,99,79.1,918367,Mechanical Engineering,1,Private,Low
84,76,97,84.7,2189770,Data Science,3,Private,High
86,66,78,75.6,1918941,Information Technology,2,Private,High
45,98,67,72.8,1314051,Information Technology,3,Private,Medium
76,92,37,70.7,1076469,Artificial Intelligence,2,Private,Medium
75,62,96,76.1,898823,Civil Engineering,2,Government,Medium
94,45,48,60.6,1488959,Food Science,2,Private,Low
92,93,58,82.2,2107677,Cyber Security,1,Government,Medium
60,81,35,60.9,965557,Computer Science,2,Private,Low
80,58,88,73.6,855178,Computer Science,3,Government,High
78,82,84,81.4,1892249,Accounting & Finance,3,Government,High
78,98,96,91.4,2043709,Agriculture,3,Private,High
73,79,99,83.2,825524,Artificial Intelligence,1,Private,Low
99,97,72,90.1,2144155,Marketing,3,Private,Medium
79,71,39,63.8,2202302,BBA,3,Government,Medium
66,64,85,70.9,1021660,LLB,2,Government,Medium
53,82,62,67.3,1411599,BBA,2,Private,Medium
61,82,45,64.6,2280359,Cyber Security,3,Private,Medium
58,82,71,71.5,1140019,LLB,3,Private,High
63,79,45,64.0,1919975,Mechanical Engineering,1,Private,Low
77,59,94,74.9,1989096,Mechanical Engineering,1,Private,Medium
49,95,91,80.0,2134989,Civil Engineering,2,Government,High
